"Animal","Treatment","Dose","BPchange"
"R1","Control",6.25,0.5
"R1","Control",12.5,4.5
"R1","Control",25,10
"R1","Control",50,26
"R1","Control",100,37
"R1","Control",200,32
"R2","Control",6.25,1
"R2","Control",12.5,1.25
"R2","Control",25,4
"R2","Control",50,12
"R2","Control",100,27
"R2","Control",200,29
"R3","Control",6.25,0.75
"R3","Control",12.5,3
"R3","Control",25,3
"R3","Control",50,14
"R3","Control",100,22
"R3","Control",200,24
"R4","Control",6.25,1.25
"R4","Control",12.5,1.5
"R4","Control",25,6
"R4","Control",50,19
"R4","Control",100,33
"R4","Control",200,33
"R5","Control",6.25,1.5
"R5","Control",12.5,1.5
"R5","Control",25,5
"R5","Control",50,16
"R5","Control",100,20
"R5","Control",200,18
"R1","MDL",6.25,1.25
"R1","MDL",12.5,0.75
"R1","MDL",25,4
"R1","MDL",50,9
"R1","MDL",100,25
"R1","MDL",200,37
"R2","MDL",6.25,1.4
"R2","MDL",12.5,1.7
"R2","MDL",25,1
"R2","MDL",50,2
"R2","MDL",100,15
"R2","MDL",200,28
"R3","MDL",6.25,0.75
"R3","MDL",12.5,2.3
"R3","MDL",25,3
"R3","MDL",50,5
"R3","MDL",100,26
"R3","MDL",200,25
"R4","MDL",6.25,2.6
"R4","MDL",12.5,1.2
"R4","MDL",25,2
"R4","MDL",50,3
"R4","MDL",100,11
"R4","MDL",200,22
"R5","MDL",6.25,2.4
"R5","MDL",12.5,2.5
"R5","MDL",25,1.5
"R5","MDL",50,2
"R5","MDL",100,9
"R5","MDL",200,19
